id,title,address,img_url
33,SSAW,"대전광역시 서구 둔산동 1435",https://lh5.googleusercontent.com/p/AF1QipNGe6JG9x4IezJf4HkceBMgPBiQ0fUCsq5sxi9w=w408-h306-k-no
34,어도비하우스,"대전광역시 중구 대흥로169번길 대흥동",https://lh5.googleusercontent.com/p/AF1QipOVSwPgd0i0OgHVy0f50_MQmu97mOPyAcm3WMiK=w408-h408-k-no
35,"빽다방 장대",NULL,
36,스타벅스,NULL,
37,하늘만큼,"대전광역시 동구 판암동 527-6",https://lh5.googleusercontent.com/p/AF1QipMDEt683-jexgdl9mpMlHenp2QQdQRMZ5Moq_ck=w408-h408-k-no
38,그린베이커리,"대전광역시 유성구 관평동 테크노4로 98-10",https://lh5.googleusercontent.com/p/AF1QipPB3k5Fq1gX69kcssticqvLY44XZS7EsdbnLNyd=w408-h408-k-no
39,"카페 크러쉬온드 둔산","대전광역시 서구 둔산동 대덕대로217번길 32 1층",https://lh5.googleusercontent.com/p/AF1QipOzF10_QO6XcdLjVpmGN8TjQa87IGJYF2G_W37u=w408-h306-k-no
40,커닝,"대전광역시 중구 중앙로 132",https://lh5.googleusercontent.com/p/AF1QipOasOZWxj7E5IfVEBYfB4KR5TkFdh7kWD5KcahL=w408-h306-k-no
41,"카페 희스밀","대전광역시 유성구 궁동 죽동로279번길 80",https://lh5.googleusercontent.com/p/AF1QipORc860QBYG77wiJq-PWAz4Uek_zcV2Ww_PYIAd=w408-h544-k-no
42,오브떼르,"대전광역시 유성구 구암동 612-1",https://lh5.googleusercontent.com/p/AF1QipOemZ3MvMd7NhWdR19EooyJaT6euWJn8MahGzIZ=w426-h240-k-no
43,쎄시마몽드,"대전광역시 유성구 유성대로710번길 80",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FC3sI6VIkMmAM5kRy4VSKg&amp;cb_client=search.gws-prod.gps&amp;w=408&amp;h=240&amp;yaw=243.82388&amp;pitch=0&amp;thumbfov=100
44,"블루포트 목원대중앙도서관","대전광역시 서구 도안동 도안북로 88 목원대학교 중앙도서관",https://lh5.googleusercontent.com/p/AF1QipM_LZx52DXE0lj4WFsEHuBsObqBq8BWZ5jeHmIq=w408-h272-k-no
45,"빽다방  대전을지병원","대전광역시 서구 둔산2동 1367",https://lh5.googleusercontent.com/p/AF1QipPagk9ZuoCFIG5vqH6wtSGv2eG2OkhErPd8dW6-=w408-h544-k-no
46,봉명가든,"대전광역시 유성구 대학로 60 봉명가든 6층",https://lh5.googleusercontent.com/p/AF1QipPPEytVu14BPFd4mr-Hz0MGH6xJ6WJRxXmOLAse=w426-h240-k-no
47,마제스티마카롱,"대전광역시 동구 가양2동 87-10",https://lh5.googleusercontent.com/p/AF1QipNn7iHgPn8_oNv_0jHL0jRqWJwRMZsRIMDf38HS=w426-h240-k-no
48,"홀리 크로스","대전광역시 서구 둔산동 둔산로 25",https://lh5.googleusercontent.com/p/AF1QipPf9XkPrOPepK_lRUstrXIaS4dJg8asaAjS3-Q=w408-h306-k-no
49,그레이스538,"대전광역시 유성구 원신흥남로42번길 19-35",https://lh5.googleusercontent.com/p/AF1QipOvqHsYccATElsApUo0A65HO_4YiG1i8goJnM8=w408-h544-k-no
50,"빽다방 충남대병원","대전광역시 중구 대사동 248 207번지 1층",https://lh5.googleusercontent.com/p/AF1QipO8Xr-0EngXolXV3XxG9rj9Io4WDHDz3a6ncf3z=w493-h240-k-no
51,안도르,"대전광역시 중구 은행동 21",https://lh5.googleusercontent.com/p/AF1QipNxVdK7xIYwz9yUjZ0Bimy_zF8H-hkNanlIyjme=w408-h306-k-no
52,"카페 소소담","대전광역시 서구 관저동로105번길 80 1층",https://lh5.googleusercontent.com/p/AF1QipPVo1CuBxGY4pCLR0lUUnwbeVZ3gTkIQJhVljEM=w408-h306-k-no
53,파사드하우스,"대전광역시 서구 계룡로603번길 49",https://lh5.googleusercontent.com/p/AF1QipOZfYLS152ChoQw5K8Ew_iveRuUDjWxWGyIbr2x=w408-h408-k-no
54,"플랜티 탄방로데오",NULL,
55,볕,"대전광역시 동구 수향2길 7",https://lh5.googleusercontent.com/p/AF1QipNBUOFGnbxiRYboJLoxMMkHbdRC1QL0c5OMjynd=w426-h240-k-no
56,"아미띠에커피 선화","대전광역시 중구 대종로505번길 43",https://lh5.googleusercontent.com/p/AF1QipMtyO-W6Pz2BVxHE6nQiXC7j6G9BocjiwSWsACG=w532-h240-k-no
57,10AMPM,NULL,
58,모습,"대전광역시 중구 문화동 27-5 4층",https://lh5.googleusercontent.com/p/AF1QipOahD1jsDA_hlvMdvG91MnsVaw2qf6XpRXr5sGU=w408-h306-k-no
59,"Caffe T","대전광역시 서구 만년동 만년로67번길 22",https://lh5.googleusercontent.com/p/AF1QipM6mYAuaxzQi0m5YX4q8xkxFbHIWE-_cnES5j0b=w408-h306-k-no
60,알로하녹,"대전광역시 중구 은행선화동 236-8",https://lh5.googleusercontent.com/p/AF1QipP8WCp7rli9hUPkLv0Aiufz3H3iGI4B9IbYRtMr=w408-h408-k-no
61,"델 빠네","대전광역시 서구 원도안로 207번길 16-61",https://lh5.googleusercontent.com/p/AF1QipNGoZ1BKKBkKd0D3EZcFTav1b9IfpZjavSJCCDr=w426-h240-k-no
62,층층층,"대전광역시 동구 소제동 수향길 101",https://lh5.googleusercontent.com/p/AF1QipMONJGT7X1vaqBu5vL7QfC8W80Le1oU-RCcct2Z=w513-h240-k-no
63,하우어커피,"대전광역시 유성구 대학로75번길 17 2 층",https://lh5.googleusercontent.com/p/AF1QipMKPYkEBz9uAkMaYv-kXaMfFq96hsfWBGB_RRew=w426-h240-k-no
64,오도르,"대전광역시 서구 도안동로 144-34",https://lh5.googleusercontent.com/p/AF1QipM6mYAuaxzQi0m5YX4q8xkxFbHIWE-_cnES5j0b=w408-h306-k-no
65,삼삼카페,"대전광역시 대덕구 삼정동 대청호수로 1875",https://lh5.googleusercontent.com/p/AF1QipNI1w8mDoI9fS-q22xJqEO0RGJTv-JP_oiXC0oF=w408-h306-k-no
66,투썸플레이스,NULL,
67,오시우커피,"대전광역시 중구 은행동 137-19",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8-rMQpuZWWjgtMW5XBSPGQ&amp;cb_client=search.gws-prod.gps&amp;w=408&amp;h=240&amp;yaw=153.47429&amp;pitch=0&amp;thumbfov=100
68,"이이디 에스프레소 바","대전광역시 중구 선화동 32-4 2층",https://lh5.googleusercontent.com/p/AF1QipNj2cOirdNOdPTXxZs7AFGuQY4t52j0uiIgjwnT=w408-h306-k-no
69,정동문화사,"대전광역시 동구 중동 9-19",https://lh5.googleusercontent.com/p/AF1QipNtwRxvwCdIMQhxdxSRyox5ami_am0fUCqHye7y=w408-h306-k-no
70,카페1896,"대전광역시 서구 만년동 313",https://lh5.googleusercontent.com/p/AF1QipO3sAoPOJCyZMBBA-wxZvEj3G9qUwBPmOap-3bT=w506-h240-k-no
